#space_1 ell_1 scale_1 space_2 ell_2 scale_2 covariance
0 0 0.075226 0 0 0.175099 2486.982
0 0 0.075226 0 0 0.185092 2287.586
0 0 0.075226 0 0 0.195086 1348.576
0 0 0.075226 0 0 0.205085 2040.557
0 0 0.075226 0 0 0.215079 501.4558
0 0 0.075226 0 0 0.225074 1474.992
0 0 0.075226 0 0 0.235071 782.0393
0 0 0.075226 0 0 0.245068 1756.553
0 0 0.075226 0 0 0.255064 -297.3776
0 0 0.075226 0 0 0.265062 -152.9729
0 0 0.075226 0 0 0.275059 331.8486
0 0 0.075226 0 0 0.285055 179.4716
0 0 0.075226 0 0 0.295057 1543.874
0 0 0.075226 0 0 0.305058 355.9079
0 0 0.075226 0 0 0.315054 -520.2661
0 0 0.075226 0 2 0.007493 -118362.8
0 0 0.075226 0 2 0.016066 -145309.2
0 0 0.075226 0 2 0.025663 -95849.75
0 0 0.075226 0 2 0.035474 41501.96
0 0 0.075226 0 2 0.045364 -15349.27
0 0 0.075226 0 2 0.055298 -6407.359
0 0 0.075226 0 2 0.065259 14488.7
0 0 0.075226 0 2 0.075226 -32217.19
0 0 0.075226 0 2 0.0852 21143.5
0 0 0.075226 0 2 0.095179 -3019.078
0 0 0.075226 0 2 0.105167 -3982.956
0 0 0.075226 0 2 0.115153 727.4413
0 0 0.075226 0 2 0.125138 4827.071
0 0 0.075226 0 2 0.135129 2338.227
0 0 0.075226 0 2 0.145115 5299.865
0 0 0.075226 0 2 0.15511 413.5615
0 0 0.075226 0 2 0.165106 2422.059
0 0 0.075226 0 2 0.175099 485.0833
0 0 0.075226 0 2 0.185092 195.4142
0 0 0.075226 0 2 0.195086 -2314.598
0 0 0.075226 0 2 0.205085 -1375.443
0 0 0.075226 0 2 0.215079 -343.4297
0 0 0.075226 0 2 0.225074 -669.0923
0 0 0.075226 0 2 0.235071 2034.023
0 0 0.075226 0 2 0.245068 389.3954
0 0 0.075226 0 2 0.255064 1859.028
0 0 0.075226 0 2 0.265062 2263.013
0 0 0.075226 0 2 0.275059 -1774.194
0 0 0.075226 0 2 0.285055 -1786.192
0 0 0.075226 0 2 0.295057 1090.669
0 0 0.075226 0 2 0.305058 300.5997
0 0 0.075226 0 2 0.315054 -1018.581
0 0 0.0852 0 0 0.007493 19430.04
0 0 0.0852 0 0 0.016066 -29721.75
0 0 0.0852 0 0 0.025663 -8958.782
0 0 0.0852 0 0 0.035474 -1918.567
0 0 0.0852 0 0 0.045364 6056.547
0 0 0.0852 0 0 0.055298 -516.2181
0 0 0.0852 0 0 0.065259 -1464.593
0 0 0.0852 0 0 0.075226 29336.09
0 0 0.0852 0 0 0.0852 94930.13
0 0 0.0852 0 0 0.095179 14832.6
0 0 0.0852 0 0 0.105167 6921.105
0 0 0.0852 0 0 0.115153 1223.439
0 0 0.0852 0 0 0.125138 4666.206
0 0 0.0852 0 0 0.135129 1036.209
0 0 0.0852 0 0 0.145115 1748.066
0 0 0.0852 0 0 0.15511 1627.609
